rssilog_id , rssilog_rssi , rssilog_antenna ,     rssilog_timestamp2     , session_sso 
18404401,0, 11.0.0.24       , 2016-01-26 18:40:47.048018 ,178
18404154,-50, 11.0.0.24       , 2016-01-26 18:39:01.202772 ,178
18404134,-43, 11.0.0.24       , 2016-01-26 18:38:54.478107 ,178
18404122,0, 11.0.0.24       , 2016-01-26 18:38:49.783256 ,178
18404061,-76, 11.0.0.24       , 2016-01-26 18:38:22.908776 ,178
18404055,-100, 11.0.0.24       , 2016-01-26 18:38:18.599024 ,178
18404043,-115, 11.0.0.24       , 2016-01-26 18:38:08.558308 ,178
18404020,-103, 11.0.0.24       , 2016-01-26 18:37:56.751457 ,178
18403995,-93, 11.0.0.24       , 2016-01-26 18:37:42.998786 ,178
18403973,-79, 11.0.0.24       , 2016-01-26 18:37:32.31048  ,178
18403957,-116, 11.0.0.24       , 2016-01-26 18:37:27.480834 ,178
18403923,0, 11.0.0.24       , 2016-01-26 18:37:13.905247 ,178
18403867,-53, 11.0.0.24       , 2016-01-26 18:36:46.993358 ,178
18403845,-82, 11.0.0.24       , 2016-01-26 18:36:36.982077 ,178
18403834,-101, 11.0.0.24       , 2016-01-26 18:36:30.851038 ,178
18403811,-46, 11.0.0.24       , 2016-01-26 18:36:23.652391 ,178
18403796,-88, 11.0.0.24       , 2016-01-26 18:36:14.843685 ,178
18403785,-114, 11.0.0.24       , 2016-01-26 18:36:10.072421 ,178
18403748,-90, 11.0.0.24       , 2016-01-26 18:35:57.217111 ,178
18403735,1, 11.0.0.24       , 2016-01-26 18:35:52.015674 ,178
18395289,0, 11.0.0.24       , 2016-01-26 17:58:00.01712  ,178
18395157,-124, 11.0.0.23       , 2016-01-26 17:57:32.521402 ,178
18395057,-82, 11.0.0.23       , 2016-01-26 17:57:14.536556 ,178
18395056,-72, 11.0.0.24       , 2016-01-26 17:57:14.534026 ,178
18395007,-80, 11.0.0.23       , 2016-01-26 17:57:06.211214 ,178
18395006,-86, 11.0.0.24       , 2016-01-26 17:57:06.192944 ,178
18394957,-81, 11.0.0.24       , 2016-01-26 17:56:58.787496 ,178
18394955,-108, 11.0.0.23       , 2016-01-26 17:56:58.78526  ,178
18394909,-56, 11.0.0.24       , 2016-01-26 17:56:51.464207 ,178
18394908,-108, 11.0.0.23       , 2016-01-26 17:56:51.463494 ,178
18394778,0, 11.0.0.24       , 2016-01-26 17:56:33.601092 ,178
18394772,0, 11.0.0.23       , 2016-01-26 17:56:33.353935 ,178
18394559,1, 11.0.0.22       , 2016-01-26 17:55:58.500965 ,178
18394558,-82, 11.0.0.24       , 2016-01-26 17:55:58.483309 ,178
18394556,0, 11.0.0.23       , 2016-01-26 17:55:58.197327 ,178
18394524,-110, 11.0.0.24       , 2016-01-26 17:55:52.783016 ,178
18394473,-93, 11.0.0.24       , 2016-01-26 17:55:43.832938 ,178
18393239,-117, 11.0.0.25       , 2016-01-26 17:51:47.097919 ,178
18393182,-104, 11.0.0.25       , 2016-01-26 17:51:37.780117 ,178
18393082,0, 11.0.0.21       , 2016-01-26 17:51:15.533032 ,178
18393081,0, 11.0.0.25       , 2016-01-26 17:51:15.52439  ,178
18393080,0, 11.0.0.26       , 2016-01-26 17:51:15.514639 ,178
18392958,-102, 11.0.0.21       , 2016-01-26 17:50:49.354758 ,178
18392957,-100, 11.0.0.26       , 2016-01-26 17:50:49.33978  ,178
18392956,-45, 11.0.0.19       , 2016-01-26 17:50:49.327345 ,178
18392955,-89, 11.0.0.18       , 2016-01-26 17:50:49.314122 ,178
18392929,-110, 11.0.0.21       , 2016-01-26 17:50:41.455806 ,178
18392928,-87, 11.0.0.25       , 2016-01-26 17:50:41.370638 ,178
18392926,-94, 11.0.0.18       , 2016-01-26 17:50:41.357557 ,178
18392927,-107, 11.0.0.26       , 2016-01-26 17:50:41.357064 ,178
18392914,-90, 11.0.0.19       , 2016-01-26 17:50:39.303335 ,178
18392866,0, 11.0.0.19       , 2016-01-26 17:50:29.259441 ,178
18392865,0, 11.0.0.18       , 2016-01-26 17:50:29.241029 ,178
18392864,0, 11.0.0.25       , 2016-01-26 17:50:29.197767 ,178
18392863,-143, 11.0.0.26       , 2016-01-26 17:50:29.183408 ,178
18392727,-74, 11.0.0.18       , 2016-01-26 17:49:59.026283 ,178
18392725,-88, 11.0.0.26       , 2016-01-26 17:49:58.960862 ,178
18392724,-89, 11.0.0.25       , 2016-01-26 17:49:58.959469 ,178
18392723,-76, 11.0.0.19       , 2016-01-26 17:49:58.939222 ,178
18392646,-106, 11.0.0.19       , 2016-01-26 17:49:42.116257 ,178
18392645,-102, 11.0.0.25       , 2016-01-26 17:49:42.088116 ,178
18392644,-89, 11.0.0.26       , 2016-01-26 17:49:42.08602  ,178
18392643,-100, 11.0.0.18       , 2016-01-26 17:49:42.075127 ,178
18392580,-103, 11.0.0.18       , 2016-01-26 17:49:28.550096 ,178
18392579,-99, 11.0.0.19       , 2016-01-26 17:49:28.525086 ,178
18392535,-85, 11.0.0.18       , 2016-01-26 17:49:17.954235 ,178
18392534,-55, 11.0.0.19       , 2016-01-26 17:49:17.944944 ,178
18392505,-38, 11.0.0.18       , 2016-01-26 17:49:12.000997 ,178
18392486,-87, 11.0.0.19       , 2016-01-26 17:49:06.508027 ,178
18392485,-103, 11.0.0.18       , 2016-01-26 17:49:06.497294 ,178
18392461,-80, 11.0.0.19       , 2016-01-26 17:49:00.802542 ,178
18392437,-71, 11.0.0.18       , 2016-01-26 17:48:53.946816 ,178
18392436,-82, 11.0.0.19       , 2016-01-26 17:48:53.946791 ,178
18392414,-89, 11.0.0.19       , 2016-01-26 17:48:49.416463 ,178
18392413,-82, 11.0.0.18       , 2016-01-26 17:48:49.41633  ,178
18392370,-72, 11.0.0.19       , 2016-01-26 17:48:39.837909 ,178
18392369,-69, 11.0.0.18       , 2016-01-26 17:48:39.822    ,178
18392343,-82, 11.0.0.19       , 2016-01-26 17:48:35.130382 ,178
18392342,-78, 11.0.0.18       , 2016-01-26 17:48:35.126494 ,178
18392319,-78, 11.0.0.19       , 2016-01-26 17:48:30.13511  ,178
18392318,-75, 11.0.0.18       , 2016-01-26 17:48:30.130577 ,178
18392300,-77, 11.0.0.18       , 2016-01-26 17:48:25.13108  ,178
18392299,-81, 11.0.0.19       , 2016-01-26 17:48:24.997136 ,178
17938931,-105, 11.0.0.13       , 2016-01-24 19:55:08.912523 ,178
17938927,0, 11.0.0.14       , 2016-01-24 19:55:06.966421 ,178
17938920,0, 11.0.0.13       , 2016-01-24 19:55:03.837502 ,178
17938882,-81, 11.0.0.13       , 2016-01-24 19:54:36.373888 ,178
17938881,-77, 11.0.0.14       , 2016-01-24 19:54:36.373834 ,178
17938873,-77, 11.0.0.13       , 2016-01-24 19:54:31.364289 ,178
17938872,-80, 11.0.0.14       , 2016-01-24 19:54:31.363531 ,178
17938866,-87, 11.0.0.13       , 2016-01-24 19:54:26.364007 ,178
17938865,-89, 11.0.0.14       , 2016-01-24 19:54:26.363315 ,178
17938852,-52, 11.0.0.14       , 2016-01-24 19:54:17.525712 ,178
17938851,-54, 11.0.0.13       , 2016-01-24 19:54:17.46789  ,178
17938778,0, 11.0.0.17       , 2016-01-24 19:53:26.333497 ,178
17938773,0, 11.0.0.15       , 2016-01-24 19:53:23.297918 ,178
17938765,0, 11.0.0.23       , 2016-01-24 19:53:19.086359 ,178
17938729,-112, 11.0.0.23       , 2016-01-24 19:52:48.318571 ,178
17938728,-150, 11.0.0.24       , 2016-01-24 19:52:48.318209 ,178
17938727,-44, 11.0.0.17       , 2016-01-24 19:52:48.307608 ,178
17938726,1, 11.0.0.15       , 2016-01-24 19:52:48.288323 ,178
17938725,1, 11.0.0.12       , 2016-01-24 19:52:48.283176 ,178
17938712,1, 11.0.0.17       , 2016-01-24 19:52:37.767105 ,178
17938695,0, 11.0.0.24       , 2016-01-24 19:52:28.096762 ,178
17938693,-85, 11.0.0.23       , 2016-01-24 19:52:28.027581 ,178
17938692,1, 11.0.0.17       , 2016-01-24 19:52:28.006464 ,178
17938668,0, 11.0.0.23       , 2016-01-24 19:52:12.364565 ,178
17938614,-64, 11.0.0.24       , 2016-01-24 19:51:37.56532  ,178
17938606,-163, 11.0.0.24       , 2016-01-24 19:51:30.872346 ,178
17938574,-40, 11.0.0.24       , 2016-01-24 19:51:05.897941 ,178
17938566,0, 11.0.0.24       , 2016-01-24 19:51:00.194517 ,178
17938300,-44, 11.0.0.24       , 2016-01-24 19:48:20.121997 ,178
17938289,0, 11.0.0.24       , 2016-01-24 19:48:13.263423 ,178
17938188,-84, 11.0.0.24       , 2016-01-24 19:47:16.884167 ,178
17938177,-83, 11.0.0.24       , 2016-01-24 19:47:11.876461 ,178
17938168,-153, 11.0.0.24       , 2016-01-24 19:47:06.633193 ,178
17938133,-97, 11.0.0.24       , 2016-01-24 19:46:48.161025 ,178
17938122,0, 11.0.0.24       , 2016-01-24 19:46:41.603043 ,178
17938034,-141, 11.0.0.24       , 2016-01-24 19:45:52.913981 ,178
17937999,-86, 11.0.0.24       , 2016-01-24 19:45:35.317232 ,178
17937990,-86, 11.0.0.24       , 2016-01-24 19:45:30.537275 ,178
17937980,-85, 11.0.0.24       , 2016-01-24 19:45:26.398309 ,178
17937969,-90, 11.0.0.24       , 2016-01-24 19:45:21.237787 ,178
17937959,-86, 11.0.0.24       , 2016-01-24 19:45:16.284865 ,178
